Note Extraction from 1674.mid
----------------------------------------

--- Track 0:  ---

--- Track 1: FLUTE ---
Time: 225984, Note: 88, Velocity: 115
Time: 226176, Note: 79, Velocity: 115
Time: 226176, Note: 88, Velocity: 115
Time: 226368, Note: 79, Velocity: 115
Time: 226368, Note: 88, Velocity: 115
Time: 226560, Note: 79, Velocity: 115
Time: 226560, Note: 88, Velocity: 115
Time: 228096, Note: 79, Velocity: 115
Time: 228096, Note: 88, Velocity: 115
Time: 229056, Note: 82, Velocity: 115
Time: 229056, Note: 86, Velocity: 115
Time: 229248, Note: 82, Velocity: 115
Time: 229248, Note: 86, Velocity: 115
Time: 229440, Note: 82, Velocity: 115
Time: 229440, Note: 86, Velocity: 115
Time: 229632, Note: 82, Velocity: 115
Time: 229632, Note: 86, Velocity: 115
Time: 230784, Note: 73, Velocity: 115
Time: 230784, Note: 85, Velocity: 115
Time: 230976, Note: 73, Velocity: 115
Time: 230976, Note: 85, Velocity: 115
Time: 231168, Note: 73, Velocity: 115
Time: 231168, Note: 85, Velocity: 115
Time: 231552, Note: 74, Velocity: 115
Time: 231552, Note: 86, Velocity: 115
Time: 231744, Note: 74, Velocity: 115
Time: 231744, Note: 86, Velocity: 115
Time: 231936, Note: 74, Velocity: 115
Time: 231936, Note: 86, Velocity: 115
Time: 237696, Note: 86, Velocity: 115
Time: 237696, Note: 86, Velocity: 115
Time: 237888, Note: 86, Velocity: 115
Time: 237888, Note: 86, Velocity: 115
Time: 238080, Note: 86, Velocity: 115
Time: 238080, Note: 91, Velocity: 115
Time: 243840, Note: 83, Velocity: 115
Time: 243840, Note: 86, Velocity: 115
Time: 244032, Note: 83, Velocity: 115
Time: 244032, Note: 86, Velocity: 115
Time: 244224, Note: 84, Velocity: 115
Time: 244224, Note: 88, Velocity: 115
Time: 244416, Note: 84, Velocity: 123
Time: 244416, Note: 84, Velocity: 123
Time: 244608, Note: 84, Velocity: 123
Time: 244608, Note: 84, Velocity: 123
Time: 244800, Note: 84, Velocity: 123
Time: 244800, Note: 84, Velocity: 123
Time: 244992, Note: 77, Velocity: 123
Time: 244992, Note: 77, Velocity: 123
Time: 245760, Note: 79, Velocity: 123
Time: 245760, Note: 79, Velocity: 123
Time: 248064, Note: 77, Velocity: 123
Time: 248064, Note: 77, Velocity: 123
Time: 248832, Note: 79, Velocity: 123
Time: 248832, Note: 79, Velocity: 123
Time: 251136, Note: 77, Velocity: 123
Time: 251136, Note: 77, Velocity: 123
Time: 251904, Note: 78, Velocity: 123
Time: 251904, Note: 78, Velocity: 123
Time: 254208, Note: 81, Velocity: 123
Time: 254208, Note: 81, Velocity: 123
Time: 254976, Note: 82, Velocity: 123
Time: 254976, Note: 82, Velocity: 123
Time: 256512, Note: 83, Velocity: 115
Time: 256512, Note: 83, Velocity: 115
Time: 258048, Note: 85, Velocity: 109
Time: 258048, Note: 85, Velocity: 109
Time: 259584, Note: 85, Velocity: 101
Time: 259584, Note: 85, Velocity: 101
Time: 261120, Note: 85, Velocity: 91
Time: 261120, Note: 85, Velocity: 91
Time: 262656, Note: 85, Velocity: 91
Time: 262656, Note: 85, Velocity: 91
Time: 264192, Note: 86, Velocity: 78
Time: 264192, Note: 86, Velocity: 78
Time: 265728, Note: 86, Velocity: 78
Time: 265728, Note: 86, Velocity: 78
Time: 267264, Note: 86, Velocity: 78
Time: 267264, Note: 86, Velocity: 78
Time: 268800, Note: 86, Velocity: 78
Time: 268800, Note: 86, Velocity: 78
Time: 269760, Note: 86, Velocity: 123
Time: 269760, Note: 86, Velocity: 123
Time: 269952, Note: 86, Velocity: 123
Time: 269952, Note: 86, Velocity: 123
Time: 270144, Note: 86, Velocity: 123
Time: 270144, Note: 86, Velocity: 123
Time: 270336, Note: 83, Velocity: 123
Time: 270336, Note: 86, Velocity: 123
Time: 271104, Note: 84, Velocity: 123
Time: 271104, Note: 86, Velocity: 123
Time: 271872, Note: 81, Velocity: 123
Time: 271872, Note: 86, Velocity: 123
Time: 272640, Note: 86, Velocity: 123
Time: 273408, Note: 86, Velocity: 78
Time: 273408, Note: 86, Velocity: 78
Time: 274944, Note: 86, Velocity: 78
Time: 274944, Note: 86, Velocity: 78
Time: 276480, Note: 86, Velocity: 78
Time: 276480, Note: 86, Velocity: 78
Time: 278016, Note: 86, Velocity: 78
Time: 278016, Note: 86, Velocity: 78
Time: 279744, Note: 80, Velocity: 123
Time: 279744, Note: 92, Velocity: 123
Time: 279936, Note: 80, Velocity: 123
Time: 279936, Note: 92, Velocity: 123
Time: 280128, Note: 80, Velocity: 123
Time: 280128, Note: 92, Velocity: 123
Time: 280320, Note: 77, Velocity: 123
Time: 280320, Note: 89, Velocity: 123
Time: 281280, Note: 80, Velocity: 123
Time: 281280, Note: 92, Velocity: 123
Time: 281472, Note: 80, Velocity: 123
Time: 281472, Note: 92, Velocity: 123
Time: 281664, Note: 80, Velocity: 123
Time: 281664, Note: 92, Velocity: 123
Time: 281856, Note: 77, Velocity: 123
Time: 281856, Note: 89, Velocity: 123
Time: 282816, Note: 80, Velocity: 123
Time: 282816, Note: 92, Velocity: 123
Time: 283008, Note: 80, Velocity: 123
Time: 283008, Note: 92, Velocity: 123
Time: 283200, Note: 80, Velocity: 123
Time: 283200, Note: 92, Velocity: 123
Time: 283392, Note: 77, Velocity: 123
Time: 283392, Note: 89, Velocity: 123
Time: 283584, Note: 80, Velocity: 123
Time: 283584, Note: 92, Velocity: 123
Time: 283776, Note: 80, Velocity: 123
Time: 283776, Note: 92, Velocity: 123
Time: 283968, Note: 80, Velocity: 123
Time: 283968, Note: 92, Velocity: 123
Time: 284160, Note: 77, Velocity: 123
Time: 284160, Note: 89, Velocity: 123
Time: 284352, Note: 80, Velocity: 123
Time: 284352, Note: 92, Velocity: 123
Time: 284544, Note: 80, Velocity: 123
Time: 284544, Note: 92, Velocity: 123
Time: 284736, Note: 80, Velocity: 123
Time: 284736, Note: 92, Velocity: 123
Time: 284928, Note: 77, Velocity: 123
Time: 284928, Note: 89, Velocity: 123
Time: 285120, Note: 79, Velocity: 123
Time: 285120, Note: 91, Velocity: 123
Time: 285312, Note: 79, Velocity: 123
Time: 285312, Note: 91, Velocity: 123
Time: 285504, Note: 79, Velocity: 123
Time: 285504, Note: 91, Velocity: 123
Time: 285696, Note: 87, Velocity: 123
Time: 285696, Note: 91, Velocity: 123
Time: 286656, Note: 89, Velocity: 123
Time: 286656, Note: 91, Velocity: 123
Time: 286848, Note: 89, Velocity: 123
Time: 286848, Note: 91, Velocity: 123
Time: 287040, Note: 89, Velocity: 123
Time: 287040, Note: 91, Velocity: 123
Time: 287232, Note: 86, Velocity: 123
Time: 287232, Note: 91, Velocity: 123
Time: 294144, Note: 65, Velocity: 91
Time: 294144, Note: 65, Velocity: 91
Time: 295680, Note: 63, Velocity: 91
Time: 295680, Note: 63, Velocity: 91
Time: 299520, Note: 78, Velocity: 91
Time: 299520, Note: 84, Velocity: 91
Time: 300288, Note: 79, Velocity: 115
Time: 300288, Note: 83, Velocity: 115
Time: 314880, Note: 84, Velocity: 115
Time: 314880, Note: 84, Velocity: 115
Time: 315648, Note: 84, Velocity: 115
Time: 315648, Note: 84, Velocity: 115
Time: 316416, Note: 84, Velocity: 115
Time: 316416, Note: 84, Velocity: 115
Time: 317184, Note: 84, Velocity: 115
Time: 317184, Note: 84, Velocity: 115
Time: 317952, Note: 83, Velocity: 115
Time: 317952, Note: 86, Velocity: 115
Time: 318720, Note: 84, Velocity: 115
Time: 318720, Note: 87, Velocity: 115
Time: 321792, Note: 86, Velocity: 115
Time: 321792, Note: 89, Velocity: 115
Time: 324480, Note: 84, Velocity: 115
Time: 324480, Note: 87, Velocity: 115
Time: 324864, Note: 84, Velocity: 123
